# z_A  Li  La  Zr  O  Li_metal_tracked
0.57210740 0.11544081 0.00000000 0.00000000 0.00000000 0.00000000
1.71632219 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
2.86053698 0.11558493 0.00000000 0.00000000 0.00000000 0.00000000
4.00475177 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
5.14896656 0.11558493 0.00000000 0.00000000 0.00000000 0.00000000
6.29318136 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
7.43739615 0.11558493 0.00000000 0.00000000 0.00000000 0.00000000
8.58161094 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
9.72582573 0.10284825 0.00000000 0.00000000 0.00000000 0.00000000
10.87004052 0.01273668 0.00000000 0.00000000 0.00000000 0.00000000
12.01425532 0.04918125 0.00000000 0.00000000 0.00000000 0.00000000
13.15847011 0.06640369 0.00000000 0.00000000 0.00000000 0.00000000
14.30268490 0.00163937 0.00000000 0.00000000 0.00000000 0.00000000
15.44689969 0.11394556 0.00000000 0.00000000 0.00000000 0.00000000
16.59111449 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
17.73532928 0.11558493 0.00000000 0.00000000 0.00000000 0.00000000
18.87954407 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
20.02375886 0.11558493 0.00000000 0.00000000 0.00000000 0.00000000
21.16797365 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
22.31218845 0.11558493 0.00000000 0.00000000 0.00000000 0.00000000
23.45640324 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
24.60061803 0.06471027 0.00000000 0.00000000 0.00000000 0.00000000
25.74483282 0.05087467 0.00000000 0.00000000 0.00000000 0.00000000
26.88904761 0.05427952 0.00000000 0.00000000 0.00000000 0.00000000
28.03326241 0.06130541 0.00000000 0.00000000 0.00000000 0.00000000
29.17747720 0.00064854 0.00000000 0.00000000 0.00000000 0.00000000
30.32169199 0.11493639 0.00000000 0.00000000 0.00000000 0.00000000
31.46590678 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
32.61012157 0.11558493 0.00000000 0.00000000 0.00000000 0.00000000
33.75433637 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
34.89855116 0.11558493 0.00000000 0.00000000 0.00000000 0.00000000
36.04276595 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
37.18698074 0.10097468 0.00000000 0.00000000 0.00000000 0.00000000
38.33119554 0.01461025 0.00000000 0.00000000 0.00000000 0.00000000
39.47541033 0.05793659 0.00000000 0.00000000 0.00000000 0.00000000
40.61962512 0.05764835 0.00000000 0.00000000 0.00000000 0.00000000
41.76383991 0.03399451 0.00000000 0.00000000 0.00000000 0.00000000
42.90805470 0.08159042 0.00000000 0.00000000 0.00000000 0.00000000
44.05226950 0.00043236 0.00000000 0.00000000 0.00000000 0.00000000
45.19648429 0.11515257 0.00000000 0.00000000 0.00000000 0.00000000
46.34069908 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
47.48491387 0.10646929 0.00000000 0.00000000 0.00000000 0.00000000
48.62912866 0.00911564 0.00000000 0.00000000 0.00000000 0.00000000
49.77334346 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
50.91755825 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
52.06177304 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
53.20598783 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
54.35020262 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
55.49441742 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
56.63863221 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
57.78284700 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
58.92706179 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
60.07127659 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
61.21549138 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
62.35970617 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
63.50392096 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
64.64813575 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
65.79235055 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
66.93656534 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
68.08078013 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
69.22499492 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
70.36920971 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
71.51342451 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
72.65763930 0.00466591 0.00722406 0.00000000 0.00580086 0.00000000
73.80185409 0.03145438 0.01444812 0.00000000 0.05037024 0.00000000
74.94606888 0.02160011 0.00000000 0.02889623 0.05137909 0.00000000
76.09028367 0.01452018 0.01444812 0.00000000 0.04022774 0.00000000
77.23449847 0.03612029 0.01444812 0.00000000 0.03995751 0.00000000
78.37871326 0.02082546 0.01444812 0.00000000 0.05620714 0.00000000
79.52292805 0.00807077 0.00000000 0.02889623 0.03033744 0.00000000
80.66714284 0.03109408 0.01444812 0.00000000 0.04561425 0.00000000
81.81135764 0.04114651 0.01444812 0.00000000 0.03748944 0.00000000
82.95557243 0.02581565 0.01444812 0.00000000 0.06094511 0.00000000
84.09978722 0.00308058 0.00000000 0.02889623 0.02954478 0.00000000
85.24400201 0.02169019 0.01444812 0.00000000 0.04970368 0.00000000
86.38821680 0.04327229 0.01444812 0.00000000 0.03768761 0.00000000
87.53243160 0.02172622 0.01444812 0.00000000 0.05669355 0.00000000
88.67664639 0.00727810 0.00000000 0.02889623 0.02931058 0.00000000
89.82086118 0.03064370 0.01444812 0.00000000 0.04934338 0.00000000
90.96507597 0.03476916 0.01444812 0.00000000 0.03907477 0.00000000
92.10929076 0.02907638 0.01444812 0.00000000 0.05606302 0.00000000
93.25350556 0.01381759 0.00000000 0.02889623 0.02891425 0.00000000
94.39772035 0.02167218 0.01444812 0.00000000 0.05451372 0.00000000
95.54193514 0.04289397 0.01444812 0.00000000 0.03431878 0.00000000
96.68614993 0.02212255 0.01444812 0.00000000 0.05316258 0.00000000
97.83036472 0.02178027 0.00000000 0.02889623 0.03141835 0.00000000
98.97457952 0.01232233 0.01444812 0.00000000 0.06404371 0.00000000
100.11879431 0.01646581 0.01444812 0.00000000 0.00814283 0.00000000
101.26300910 0.03040950 0.00390928 0.00000000 0.03793982 0.00000000
102.40722389 0.02015891 0.01053884 0.02637412 0.05597294 0.00000000
